排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
72,中国地质大学（北京）,北京,38.5,61.6,94.99%,462,7795,1.145,186,4,83751,0,0.80%
73,东北财经大学,辽宁,38.2,67.0,94.41%,40801,562,1.178,20,1,0,0,4.03%
73,西南财经大学,四川,38.2,73.3,88.64%,0,1228,1.043,24,1,80,0,0.97%
73,西南大学,重庆,38.2,58.2,94.39%,34513,9648,1.130,210,6,94354,900,1.37%
76,东北师范大学,吉林,38.1,60.4,97.50%,7134,4758,1.193,104,10,18513,0,1.54%
76,南京邮电大学,江苏,38.1,57.3,98.45%,2320,5127,1.211,181,1,182817,34529,0.96%
76,中国政法大学,北京,38.1,79.8,98.15%,14103,252,0.603,3,0,1752,0,2.16%
79,河海大学,江苏,38.0,64.4,96.54%,10132,8467,0.828,111,1,361418,437,2.09%
80,南京信息工程大学,江苏,37.9,51.9,98.78%,0,6578,1.399,193,0,103307,23207,2.70%
81,西北农林科技大学,陕西,37.8,60.6,95.97%,15912,10580,1.020,151,3,66613,3018,0.77%
82,中国石油大学（华东）,山东,37.4,60.4,96.06%,7705,7464,0.888,136,2,338002,164,3.79%
83,合肥工业大学,安徽,37.3,60.7,96.08%,8900,8574,0.996,176,1,126619,412,0.48%
84,陕西师范大学,陕西,37.2,63.1,92.13%,19743,5392,1.080,97,4,19640,217,0.88%
85,华南师范大学,广东,37.1,60.4,97.15%,31069,5522,1.060,79,5,110739,1550,1.11%
85,江苏大学,江苏,37.1,52.1,98.12%,6622,12524,0.984,216,5,247597,7280,3.63%
87,南京工业大学,江苏,37.0,52.1,95.24%,2397,7722,1.197,193,11,226412,5490,0.32%
87,中国石油大学（北京）,北京,37.0,55.4,97.55%,1210,10044,0.943,199,1,299991,300,3.55%
89,西北大学,陕西,36.9,63.8,89.33%,0,6510,1.036,106,0,54000,252,1.34%
89,浙江工业大学,浙江,36.9,58.2,96.22%,6566,7636,0.960,116,4,215831,400,3.74%
91,北京林业大学,北京,36.8,65.5,94.67%,12452,6246,0.859,69,4,38644,3300,0.62%
91,湖南师范大学,湖南,36.8,65.7,95.34%,25140,3159,0.966,52,0,21371,320,1.84%
91,浙江师范大学,浙江,36.8,55.2,95.88%,8935,3564,1.310,106,3,23274,174,3.66%
94,首都师范大学,北京,36.4,59.7,99.85%,3798,3624,1.030,54,2,11054,0,4.04%
95,汕头大学,广东,36.3,58.4,99.64%,225015,2982,1.090,40,4,6791,130,0.14%
96,中国传媒大学,北京,36.2,74.1,98.46%,16793,404,0.536,1,0,6001,0,2.90%
97,杭州电子科技大学,浙江,36.1,58.8,96.88%,15817,3614,1.060,95,2,56546,14183,1.11%
98,扬州大学,江苏,36.0,48.7,98.83%,12229,6338,1.062,141,3,200121,96206,1.95%
99,安徽大学,安徽,35.9,61.3,92.92%,5674,4774,1.025,87,0,35920,350,0.64%
100,华侨大学,福建,35.7,53.3,98.60%,38291,3218,0.908,42,1,15208,15208,15.79%
101,宁波大学,浙江,35.4,54.4,97.27%,163673,6257,0.929,86,3,29277,3492,4.86%
101,首都经济贸易大学,北京,35.4,58.7,99.41%,2473,420,1.118,9,1,0,0,2.94%
101,西交利物浦大学,江苏,35.4,52.9,99.51%,17936,770,1.311,24,0,93,0,4.96%
104,燕山大学,河北,35.3,61.9,94.91%,1424,6842,0.752,88,1,155974,1532,0.38%
105,湖北大学,湖北,35.2,56.0,96.57%,8225,2811,1.147,62,2,74853,2600,0.18%
106,长安大学,陕西,35.1,62.5,95.20%,4475,5412,0.577,49,0,451955,13792,1.37%
106,上海理工大学,上海,35.1,57.9,97.78%,3544,5546,0.803,94,0,310937,1280,1.61%
108,大连海事大学,辽宁,35.0,61.9,96.54%,5495,3215,0.836,60,0,79719,3297,1.28%
108,广东外语外贸大学,广东,35.0,58.2,99.54%,13417,546,1.102,12,0,0,0,2.04%
108,太原理工大学,山西,35.0,58.0,90.02%,0,6659,0.842,73,1,126435,60099,0.57%
111,广东工业大学,广东,34.8,49.9,97.52%,2103,4728,1.171,139,2,154340,3630,1.34%
111,南京财经大学,江苏,34.8,54.8,98.84%,0,678,1.250,21,1,10515,5600,0.32%
111,浙江理工大学,浙江,34.8,54.3,97.42%,1400,3579,1.097,76,1,50225,1610,2.06%
114,河北工业大学,天津,34.7,65.7,94.59%,0,3881,0.684,31,0,35970,4200,0.22%
115,华东政法大学,上海,34.6,69.0,96.03%,5229,109,0.611,2,0,0,0,2.10%
115,湘潭大学,湖南,34.6,54.7,93.73%,5889,3935,1.119,88,2,12458,22,1.33%
115,浙江财经大学,浙江,34.6,56.3,97.09%,8445,812,1.163,25,0,0,0,1.02%
115,中国矿业大学（北京）,北京,34.6,60.9,98.96%,300,4158,0.790,33,1,99201,0,0.19%
119,青岛大学,山东,34.5,53.5,91.64%,3571,7228,1.012,169,3,16490,850,1.16%
120,上海师范大学,上海,34.2,53.8,98.57%,8327,2818,1.079,45,2,13309,50,1.66%
121,南京审计大学,江苏,34.1,58.9,98.27%,0,372,0.999,10,0,0,0,0.35%
122,华南农业大学,广东,34.0,51.3,95.59%,15249,5950,1.050,89,3,118425,3818,0.26%
123,江西财经大学,江西,33.9,52.6,92.17%,14194,1052,1.307,38,0,0,0,0.43%
123,辽宁大学,辽宁,33.9,58.2,95.34%,4716,1571,0.946,21,0,8760,500,1.93%
123,中央民族大学,北京,33.9,67.5,0,899,1.033,25,1,3013,0,1.64%
126,武汉工程大学,湖北,33.8,51.4,93.23%,832,1947,1.276,62,0,51800,1555,0.18%
126,郑州大学,河南,33.8,46.6,94.11%,13157,14594,0.887,175,2,198927,280,1.82%
128,杭州师范大学,浙江,33.6,49.8,97.46%,11305,3716,1.167,70,1,12895,210,0.95%
128,上海对外经贸大学,上海,33.6,64.7,95.26%,1067,237,0.620,2,1,0,0,3.00%
130,上海海事大学,上海,33.4,52.8,97.25%,1636,1940,1.031,45,2,82627,0,1.11%
131,山东师范大学,山东,33.3,51.3,93.01%,24188,2778,1.155,67,2,6241,3382,0.29%
131,武汉科技大学,湖北,33.3,57.3,95.02%,17771,3379,0.827,40,1,82390,300,0.18%
133,北京第二外国语学院,北京,33.2,60.8,98.92%,3283,120,0.558,0,0,0,0,8.47%
133,广西大学,广西,33.2,57.0,90.88%,3190,5949,0.797,62,1,41396,1458,1.33%
133,云南大学,云南,33.2,55.4,95.31%,0,3664,0.868,37,3,21485,200,1.95%
133,浙江工商大学,浙江,33.2,55.8,95.84%,7654,2326,0.863,31,0,13371,203,3.62%
137,山西大学,山西,33.1,52.8,86.94%,0,4733,1.069,91,3,14721,2070,0.16%
138,东北农业大学,黑龙江,33.0,57.2,95.77%,4159,3647,0.815,23,0,20851,0,1.10%
139,广州大学,广东,32.7,49.1,96.39%,7267,2407,1.082,75,1,136604,170,0.09%
139,黑龙江大学,黑龙江,32.7,50.1,86.36%,2608,2225,1.227,53,2,8883,80,1.30%
139,南昌大学,江西,32.7,49.4,89.52%,749,8774,0.948,124,4,19335,404,1.21%
139,天津财经大学,天津,32.7,61.6,95.89%,0,172,0.666,1,0,0,0,2.01%
143,东北林业大学,黑龙江,32.5,57.1,94.29%,3054,4451,0.704,34,0,52695,3100,0.90%
143,河南大学,河南,32.5,51.0,94.62%,1964,5411,0.896,58,1,24302,27734,0.29%
145,河北大学,河北,32.4,56.8,95.46%,200,3801,0.720,35,2,7117,100,0.47%
146,江苏师范大学,江苏,32.3,44.7,98.67%,5358,2676,1.235,69,1,18934,1110,0.28%
147,济南大学,山东,32.0,41.2,94.11%,2099,4714,1.243,125,3,35796,14580,0.47%
147,山东财经大学,山东,32.0,47.0,91.44%,1130,569,1.313,28,1,745,0,0.05%
149,山东科技大学,山东,31.9,41.5,97.88%,835,3580,1.223,122,3,26456,800,0.89%
