排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
268,安徽理工大学,安徽,26.7,42.1,96.84%,650,1978,0.600,8,0,29260,4426,0.00%
268,大连民族大学,辽宁,26.7,40.2,94.13%,253,928,0.765,15,0,3486,4000,0.09%
268,新疆大学,新疆,26.7,41.7,80.42%,0,3238,0.768,27,1,21140,0,1.66%
268,烟台大学,山东,26.7,35.2,96.99%,3352,1843,0.875,32,0,8633,0,1.36%
268,延边大学,吉林,26.7,46.9,70.80%,4472,1518,0.772,4,0,2802,0,1.38%
273,长沙学院,湖南,26.6,31.8,97.00%,0,467,1.116,12,0,970,43,0.01%
273,大连交通大学,辽宁,26.6,45.7,90.62%,1610,1110,0.544,6,0,30657,90,0.03%
275,吉林财经大学,吉林,26.5,47.2,91.10%,0,125,0.494,0,0,0,0,0.16%
275,青岛理工大学,山东,26.5,40.5,95.94%,1540,978,0.689,9,0,41248,150,0.01%
275,上海工程技术大学,上海,26.5,39.1,98.82%,0,1637,0.671,6,0,36941,200,0.67%
275,西安科技大学,陕西,26.5,43.9,92.86%,716,1779,0.540,13,0,55537,130,0.00%
279,长春工业大学,吉林,26.4,40.2,93.29%,188,1287,0.708,12,0,23340,7000,0.03%
279,桂林理工大学,广西,26.4,36.7,96.27%,0,2019,0.793,15,0,34578,47,0.55%
279,河南科技大学,河南,26.4,40.2,91.91%,0,4184,0.630,21,1,13960,5650,0.00%
279,淮阴师范学院,江苏,26.4,30.9,98.10%,0,987,1.088,24,0,2645,35,0.00%
279,西南科技大学,四川,26.4,38.3,94.23%,352,3249,0.698,20,0,43771,8190,0.21%
284,佛山科学技术学院,广东,26.3,34.9,99.84%,0,529,0.876,10,0,24872,47,0.00%
284,南京工程学院,江苏,26.3,40.4,98.42%,217,1248,0.600,1,0,63880,409,0.00%
284,宁夏大学,宁夏,26.3,41.1,92.78%,1634,1317,0.663,9,0,25905,470,0.40%
287,广东技术师范大学,广东,26.2,37.7,94.46%,0,351,0.800,8,0,2326,709,1.07%
287,河北工程大学,河北,26.2,40.3,93.29%,0,1395,0.673,12,0,17478,1210,0.46%
287,黄冈师范学院,湖北,26.2,30.0,93.29%,0,392,1.208,10,0,0,660,0.02%
287,南京晓庄学院,江苏,26.2,37.4,91.57%,6,261,0.880,4,0,1283,0,0.46%
287,沈阳建筑大学,辽宁,26.2,45.6,95.74%,0,1363,0.329,1,0,33145,540,2.62%
287,西安工程大学,陕西,26.2,41.1,93.91%,0,1784,0.549,20,0,80052,18520,0.02%
293,大理大学,云南,26.1,30.1,92.98%,0,520,0.971,7,0,6302,0,8.01%
293,大连大学,辽宁,26.1,40.3,94.60%,0,1496,0.630,13,0,11203,150,0.80%
295,湖北民族大学,湖北,25.9,29.4,93.07%,715,689,1.143,17,1,4129,0,0.69%
295,华东交通大学,江西,25.9,39.9,92.77%,57596,1698,0.596,13,0,73131,4560,0.05%
295,嘉兴学院,浙江,25.9,33.6,97.25%,709,1242,0.886,20,0,7993,50,0.01%
295,闽江学院,福建,25.9,30.2,98.24%,82,451,1.059,9,0,1732,1143,0.15%
295,青海大学,青海,25.9,39.7,91.79%,666,1092,0.710,6,0,11357,0,0.03%
300,大连工业大学,辽宁,25.8,37.9,92.44%,0,1191,0.744,9,0,16008,3340,0.25%
300,河北地质大学,河北,25.8,40.8,96.15%,0,318,0.596,4,0,13912,0,0.00%
300,天津商业大学,天津,25.8,39.6,91.00%,0,605,0.726,6,0,1950,134,0.01%
300,玉林师范学院,广西,25.8,31.7,97.80%,0,322,0.990,7,0,6317,0,0.30%
300,中国人民武装警察部队学院,河北,25.8,53.1,0,204,0.543,5,0,1043,0,0.00%
305,北京印刷学院,北京,25.7,38.0,96.64%,0,305,0.692,5,0,7840,320,0.17%
305,广东金融学院,广东,25.7,40.3,94.93%,0,386,0.620,0,0,0,0,0.14%
305,南宁师范大学,广西,25.7,37.4,94.96%,2000,447,0.729,3,0,15949,50,0.78%
305,沈阳师范大学,辽宁,25.7,36.0,95.95%,881,784,0.768,9,0,0,80,0.88%
305,厦门理工学院,福建,25.7,34.4,98.80%,50,1058,0.771,12,0,21651,106,1.10%
310,成都信息工程大学,四川,25.5,39.9,91.41%,1058,1323,0.628,9,0,22872,30,0.01%
310,沈阳工业大学,辽宁,25.5,40.2,94.83%,0,2039,0.469,5,0,137713,160,0.65%
310,云南财经大学,云南,25.5,31.2,92.89%,0,388,1.020,1,0,7169,0,0.94%
313,安徽建筑大学,安徽,25.4,38.5,93.73%,0,812,0.663,12,0,11297,60,0.00%
313,哈尔滨商业大学,黑龙江,25.4,42.5,92.86%,829,777,0.496,0,0,0,0,0.01%
313,黑龙江工程学院,黑龙江,25.4,30.1,94.78%,0,374,1.030,4,0,48800,4020,0.13%
313,湖北工程学院,湖北,25.4,29.6,93.04%,347,232,1.105,7,0,2362,0,0.01%
313,江苏理工学院,江苏,25.4,35.4,98.14%,5536,784,0.706,11,0,34724,50,0.64%
313,郑州轻工业大学,河南,25.4,34.2,95.26%,0,1726,0.781,26,0,40315,600,0.00%
319,长春师范大学,吉林,25.3,40.3,85.92%,745,449,0.700,0,0,1030,95,0.15%
319,湖南第一师范学院,湖南,25.3,38.3,93.49%,11105,242,0.680,1,0,0,0,0.00%
319,吉林农业大学,吉林,25.3,34.1,96.51%,0,1843,0.758,8,0,18431,1300,0.40%
319,太原科技大学,山西,25.3,39.7,90.85%,0,1643,0.605,10,0,8171,0,0.00%
319,太原师范学院,山西,25.3,41.4,83.21%,0,170,0.703,0,0,964,30,0.00%
324,常熟理工学院,江苏,25.2,33.5,98.45%,594,900,0.799,5,0,7277,0,0.00%
324,广东石油化工学院,广东,25.2,23.0,99.22%,0,540,1.260,11,0,28400,10,0.30%
324,海南师范大学,海南,25.2,32.8,96.56%,0,756,0.854,8,0,5528,198,0.07%
324,华北水利水电大学,河南,25.2,40.8,95.02%,0,1969,0.452,8,0,37602,0,0.11%
324,宁波工程学院,浙江,25.2,32.9,97.96%,10250,737,0.798,6,0,35908,0,0.61%
324,西安石油大学,陕西,25.2,40.5,92.59%,445,1379,0.404,4,0,0,35961,1.67%
324,西华大学,四川,25.2,37.7,94.77%,0,1394,0.625,17,0,21594,100,0.00%
331,河北科技师范学院,河北,25.1,37.3,96.83%,0,622,0.630,2,0,1102,0,0.00%
331,湖南城市学院,湖南,25.1,36.8,93.48%,34,556,0.693,3,0,45754,10,0.02%
331,内蒙古工业大学,内蒙古,25.1,40.8,91.66%,0,1616,0.478,3,0,53658,0,0.63%
331,山东农业大学,山东,25.1,28.6,96.09%,5887,3657,0.918,28,0,33049,5291,0.00%
331,延安大学,陕西,25.1,40.1,91.34%,0,722,0.588,3,0,0,0,0.00%
336,大连海洋大学,辽宁,25.0,35.0,95.18%,500,935,0.727,12,0,8799,285,0.34%
336,广东第二师范学院,广东,25.0,35.5,96.24%,0,294,0.724,1,0,232,0,0.00%
336,河北北方学院,河北,25.0,34.0,95.46%,0,835,0.667,7,0,225,0,4.42%
336,五邑大学,广东,25.0,31.2,99.88%,0,847,0.814,11,0,53707,80,0.01%
336,西安财经大学,陕西,25.0,41.9,90.29%,0,150,0.530,0,0,0,0,0.00%
341,重庆文理学院,重庆,24.9,28.8,96.07%,0,780,0.990,12,0,3685,0,0.50%
341,贵州师范学院,贵州,24.9,22.2,92.90%,0,185,1.380,8,0,978,500,0.00%
343,宝鸡文理学院,陕西,24.8,33.5,92.54%,0,637,0.818,13,0,1757,0,0.00%
343,南昌航空大学,江西,24.8,35.2,88.92%,0,2244,0.692,19,1,54686,95,0.81%
343,山西大同大学,山西,24.8,38.0,85.81%,0,651,0.729,4,0,1040,0,0.00%
343,山西农业大学,山西,24.8,35.7,93.21%,0,1048,0.708,4,0,11042,820,0.00%
343,信阳师范学院,河南,24.8,35.6,509,955,1.151,30,1,774,0,0.00%
348,广东海洋大学,广东,24.7,34.9,92.46%,0,1014,0.726,7,0,23710,550,0.04%
349,湖南工程学院,湖南,24.6,37.8,93.56%,0,595,0.588,4,0,5465,175,0.00%
350,山东理工大学,山东,24.5,33.2,92.43%,5797,2424,0.700,20,0,52730,780,0.38%
351,北华航天工业学院,河北,24.4,38.7,97.35%,0,125,0.470,0,0,4845,0,0.00%
351,湖北汽车工业学院,湖北,24.4,28.3,95.11%,414,238,0.980,11,0,9470,380,0.00%
351,湖南理工学院,湖南,24.4,31.4,98.98%,3015,474,0.767,5,0,2082,800,0.00%
351,浙江大学城市学院,浙江,24.4,33.9,98.68%,2605,490,0.640,3,0,30665,0,0.00%
355,聊城大学,山东,24.3,26.0,95.07%,373,1734,1.001,24,1,5565,945,0.00%
355,中国民用航空飞行学院,四川,24.3,40.9,94.51%,0,232,0.392,2,0,0,0,0.00%
357,安徽工程大学,安徽,24.2,33.2,95.46%,2373,851,0.700,5,0,7256,466,0.00%
357,北华大学,吉林,24.2,38.3,85.00%,1301,853,0.558,0,0,14802,0,2.49%
357,辽宁工程技术大学,辽宁,24.2,40.4,94.80%,192,1997,0.322,6,0,27997,0,0.29%
357,南阳师范学院,河南,24.2,27.8,92.38%,0,1088,0.980,18,0,0,0,0.00%
357,盐城师范学院,江苏,24.2,32.7,98.60%,1158,647,0.672,3,0,30929,1150,0.02%
362,成都大学,四川,24.1,32.5,96.97%,0,913,0.669,8,1,16845,1320,0.14%
362,福建工程学院,福建,24.1,31.9,97.16%,206,672,0.718,7,0,9337,45,0.04%
362,陕西理工大学,陕西,24.1,35.3,93.30%,0,711,0.617,5,0,5692,0,0.00%
365,兰州城市学院,甘肃,24.0,28.7,88.89%,0,127,1.011,1,0,2970,0,0.00%
365,鲁东大学,山东,24.0,30.8,95.22%,2846,1625,0.743,8,0,13007,20,0.50%
365,武汉体育学院,湖北,24.0,27.7,93.13%,0,135,0.986,4,0,0,0,0.13%
365,徐州工程学院,江苏,24.0,29.9,98.84%,338,443,0.786,9,0,2181,10,0.04%
369,黑龙江科技大学,黑龙江,23.9,34.7,94.32%,65,553,0.610,5,0,14931,0,0.00%
369,湖北科技学院,湖北,23.9,30.7,90.67%,0,545,0.859,3,0,645,800,0.00%
369,湖北文理学院,湖北,23.9,30.8,94.77%,560,482,0.780,3,0,6800,180,0.00%
372,北京联合大学,北京,23.8,29.0,98.40%,7730,821,0.668,11,0,12916,0,4.12%
372,江苏第二师范学院,江苏,23.8,36.3,98.64%,100,144,0.470,0,0,357,0,0.00%
372,江西科技师范大学,江西,23.8,27.7,87.32%,0,1013,0.992,12,1,0,0,0.05%
372,江西理工大学,江西,23.8,32.4,90.15%,371,1625,0.692,17,0,50243,1550,0.15%
372,齐齐哈尔大学,黑龙江,23.8,33.8,94.00%,749,1136,0.600,5,0,1667,0,0.80%
372,韶关学院,广东,23.8,25.8,97.58%,0,290,0.968,6,0,4398,0,0.00%
372,西安文理学院,陕西,23.8,36.8,93.67%,0,226,0.520,1,0,6534,50,0.00%
379,长春大学,吉林,23.7,36.1,87.70%,0,512,0.608,3,0,360,140,0.37%
379,洛阳理工学院,河南,23.7,32.2,95.09%,0,558,0.675,8,0,4013,50,0.00%
379,山东建筑大学,山东,23.7,33.5,94.72%,0,965,0.599,6,0,31478,130,0.12%
382,沈阳理工大学,辽宁,23.6,39.0,92.06%,0,1068,0.354,5,0,2018,1230,0.86%
382,盐城工学院,江苏,23.6,28.5,98.01%,1359,1605,0.746,17,0,23901,152,0.01%
384,北京农学院,北京,23.5,29.7,96.27%,0,604,0.750,2,0,9667,360,0.00%
384,河南科技学院,河南,23.5,31.8,93.40%,0,1203,0.656,6,0,3326,6800,0.00%
384,洛阳师范学院,河南,23.5,31.8,87.79%,1192,1130,0.756,13,0,2415,4912,0.00%
384,内江师范学院,四川,23.5,23.7,95.05%,0,365,1.046,16,0,300,0,0.15%
384,沈阳化工大学,辽宁,23.5,33.2,92.71%,108,1185,0.559,2,0,0,520,2.34%
384,忻州师范学院,山西,23.5,31.5,91.31%,0,149,0.769,0,0,32,0,0.00%
384,运城学院,山西,23.5,31.3,91.29%,0,294,0.760,3,0,0,0,0.00%
391,甘肃农业大学,甘肃,23.4,31.2,93.73%,0,1202,0.671,11,0,7829,120,0.05%
391,广东财经大学,广东,23.4,44.0,854,218,0.590,0,0,0,0,0.00%
391,湖南财政经济学院,湖南,23.4,36.3,94.54%,0,116,0.470,0,0,0,0,0.00%
391,湖南文理学院,湖南,23.4,25.7,93.95%,130,636,0.928,11,0,20765,5530,0.00%
391,金陵科技学院,江苏,23.4,35.4,97.55%,83,163,0.453,0,0,16360,1430,0.00%
391,岭南师范学院,广东,23.4,28.7,99.08%,160,180,0.755,1,0,918,0,0.01%
391,内蒙古农业大学,内蒙古,23.4,33.4,84.67%,0,1338,0.678,12,0,55358,0,0.41%
391,齐鲁工业大学,山东,23.4,25.2,92.05%,50,2700,0.905,36,1,22448,168,0.06%
391,上海电机学院,上海,23.4,33.1,98.78%,584,394,0.507,1,0,9432,65,1.56%
391,上海体育学院,上海,23.4,37.5,0,501,0.790,1,0,716,50,3.66%
401,辽宁科技大学,辽宁,23.3,32.6,91.19%,0,1257,0.611,12,0,42981,300,0.48%
401,青岛农业大学,山东,23.3,25.1,93.44%,1294,2275,0.896,23,0,41000,570,0.01%
401,新疆师范大学,新疆,23.3,32.3,89.58%,0,499,0.595,4,0,753,0,4.07%
401,仲恺农业工程学院,广东,23.3,32.2,93.81%,0,416,0.640,2,0,6534,0,0.00%
405,安康学院,陕西,23.2,31.9,91.05%,0,102,0.697,0,0,846,0,0.00%
405,赣南师范大学,江西,23.2,28.9,83.05%,0,740,0.918,13,0,3205,5580,0.13%
405,淮海工学院,江苏,23.2,29.5,98.28%,693,883,0.662,6,0,13994,181,0.05%
405,临沂大学,山东,23.2,24.8,95.99%,0,961,0.912,16,0,2896,0,0.04%
405,泉州师范学院,福建,23.2,27.0,95.32%,5307,341,0.855,2,0,1315,0,0.01%
405,唐山学院,河北,23.2,36.2,96.57%,0,199,0.403,1,0,468,0,0.00%
405,通化师范学院,吉林,23.2,34.2,92.30%,0,165,0.570,0,0,450,0,0.13%
412,北京服装学院,北京,23.1,35.3,97.81%,0,385,0.398,0,0,7544,0,0.15%
412,合肥学院,安徽,23.1,31.5,96.16%,0,482,0.600,2,0,3546,167,0.29%
412,江西农业大学,江西,23.1,29.3,87.93%,1509,1422,0.797,16,0,20835,400,0.04%
412,沈阳大学,辽宁,23.1,32.5,92.02%,0,1397,0.572,5,0,1065,34,1.01%
416,湖北理工学院,湖北,23.0,31.1,93.16%,0,508,0.656,5,0,2273,0,0.00%
416,淮阴工学院,江苏,23.0,29.5,96.31%,851,979,0.638,5,0,46289,150,0.30%
416,曲靖师范学院,云南,23.0,23.9,88.80%,0,297,1.065,9,0,150,0,0.08%
419,安庆师范大学,安徽,22.9,29.0,89.78%,0,538,0.788,6,0,7986,2005,0.00%
419,惠州学院,广东,22.9,31.7,96.86%,0,293,0.570,3,0,4621,0,0.00%
419,佳木斯大学,黑龙江,22.9,31.6,84.76%,245,703,0.679,2,0,1280,0,2.70%
422,鞍山师范学院,辽宁,22.8,28.4,91.39%,0,163,0.785,3,0,0,0,0.46%
422,衡阳师范学院,湖南,22.8,28.9,93.11%,0,525,0.722,5,0,2568,0,0.00%
422,沈阳工程学院,辽宁,22.8,34.2,96.15%,0,246,0.421,2,0,5511,5400,0.11%
422,石家庄学院,河北,22.8,36.1,94.30%,0,258,0.387,0,0,0,0,0.00%
422,四川轻化工大学,四川,22.8,26.8,96.97%,1578,1245,0.716,17,0,29261,2080,0.37%
422,肇庆学院,广东,22.8,29.0,99.50%,916,301,0.631,1,0,15045,550,0.00%
428,黄山学院,安徽,22.7,29.3,95.80%,0,144,0.661,1,0,1163,0,0.13%
428,皖西学院,安徽,22.7,29.5,96.21%,0,252,0.650,1,0,1309,0,0.00%
430,安阳师范学院,河南,22.6,29.6,0,1086,1.094,26,0,0,0,0.00%
430,北京石油化工学院,北京,22.6,29.8,90.31%,0,836,0.672,7,0,22324,0,0.23%
430,龙岩学院,福建,22.6,20.3,99.10%,0,285,1.015,4,0,2160,0,0.02%
430,内蒙古科技大学,内蒙古,22.6,35.7,85.06%,0,1485,0.476,4,0,16696,0,0.06%
434,河南工程学院,河南,22.5,32.1,95.76%,0,567,0.494,1,0,1102,30,0.00%
434,天津城建大学,天津,22.5,33.6,93.31%,9,141,0.448,1,0,8053,15,0.88%
436,北部湾大学,广西,22.4,28.1,94.02%,0,215,0.690,0,0,10284,0,0.48%
437,长江师范学院,重庆,22.3,25.1,97.15%,0,412,0.760,5,0,4945,5295,0.00%
437,吉林化工学院,吉林,22.3,29.9,87.32%,0,449,0.704,1,0,0,0,0.00%
437,吉林建筑大学,吉林,22.3,34.7,89.36%,0,351,0.420,0,0,36609,90,0.19%
437,景德镇陶瓷大学,江西,22.3,21.2,82.06%,2521,777,1.145,31,0,6799,1000,0.20%
437,云南民族大学,云南,22.3,22.8,98.45%,0,727,0.833,8,0,100,80,0.60%
442,辽宁石油化工大学,辽宁,22.2,31.3,90.31%,495,1769,0.440,6,0,12837,0,3.11%
443,广西科技大学,广西,22.1,34.1,92.67%,33,435,0.390,1,0,2641,10,0.19%
443,哈尔滨学院,黑龙江,22.1,31.8,85.16%,0,190,0.630,1,0,1220,0,0.00%
443,山东工商学院,山东,22.1,25.7,98.09%,66,342,0.688,2,0,542,0,0.56%
443,太原工业学院,山西,22.1,34.6,90.24%,0,155,0.420,0,0,363,0,0.00%
443,郑州航空工业管理学院,河南,22.1,37.5,0,337,0.687,7,0,8138,0,0.00%
448,常州工学院,江苏,22.0,33.0,98.33%,0,449,0.309,0,0,8961,88,0.82%
448,重庆科技学院,重庆,22.0,27.8,95.54%,0,787,0.561,6,0,96288,100,0.19%
448,华北科技学院,河北,22.0,32.1,95.56%,0,276,0.423,0,0,9863,0,0.32%
448,廊坊师范学院,河北,22.0,35.6,86.77%,0,125,0.403,0,0,50,0,0.00%
448,内蒙古民族大学,内蒙古,22.0,20.6,93.50%,1375,742,0.924,11,0,0,50,1.94%
448,西南林业大学,云南,22.0,26.8,96.60%,0,830,0.618,7,0,30036,0,0.09%
448,咸阳师范学院,陕西,22.0,33.6,88.87%,0,323,0.465,1,0,2392,0,0.03%
448,湘南学院,湖南,22.0,26.8,93.33%,17,211,0.705,2,0,0,0,0.05%
448,云南农业大学,云南,22.0,23.0,96.67%,600,1085,0.769,14,0,34753,100,0.59%
457,北方民族大学,宁夏,21.9,25.3,92.53%,6206,159,0.772,4,0,1489,0,0.00%
458,贵州师范大学,贵州,21.8,28.3,91.05%,0,984,0.614,7,0,7090,0,0.30%
458,天津农学院,天津,21.8,27.7,95.69%,0,485,0.588,0,0,8183,20,0.14%
460,福建江夏学院,福建,21.7,28.6,96.66%,0,133,0.540,1,0,268,0,0.00%
460,合肥师范学院,安徽,21.7,27.7,92.56%,0,522,0.620,0,0,8280,100,0.00%
460,青海师范大学,青海,21.7,24.1,90.32%,0,392,0.827,8,0,0,0,0.00%
463,重庆第二师范学院,重庆,21.6,25.6,95.02%,0,328,0.668,3,0,510,0,0.00%
463,丽水学院,浙江,21.6,24.2,95.78%,123,492,0.713,6,0,2539,0,0.01%
463,南昌工程学院,江西,21.6,24.2,87.47%,0,551,0.845,11,0,1205,0,0.00%
463,齐鲁师范学院,山东,21.6,17.4,93.11%,0,167,1.090,3,0,0,0,0.00%
463,天津职业技术师范大学,天津,21.6,28.1,94.03%,0,597,0.540,3,0,9541,2,0.62%
463,新乡学院,河南,21.6,27.2,95.48%,0,518,0.590,9,0,0,0,0.00%
469,内蒙古师范大学,内蒙古,21.5,29.7,92.59%,4344,512,0.472,0,0,1805,0,1.24%
469,渭南师范学院,陕西,21.5,33.3,91.19%,0,181,0.359,1,0,162,0,0.00%
471,河南牧业经济学院,河南,21.4,27.4,95.04%,0,143,0.560,0,0,0,20,0.00%
471,井冈山大学,江西,21.4,25.0,87.89%,0,617,0.705,3,0,92,0,2.71%
473,韩山师范学院,广东,21.3,24.6,92.49%,0,298,0.709,2,0,608,78,0.00%
473,河南城建学院,河南,21.3,26.5,94.60%,0,468,0.590,1,0,360,20,0.00%
473,贺州学院,广西,21.3,24.3,92.80%,0,178,0.710,0,0,41625,0,0.27%
473,西北民族大学,甘肃,21.3,25.3,91.25%,0,576,0.694,4,0,678,0,0.00%
473,邢台学院,河北,21.3,28.5,97.51%,0,116,0.470,0,0,0,0,0.01%
478,安阳工学院,河南,21.2,28.3,87.53%,0,258,0.604,2,0,760,0,0.00%
478,贵州财经大学,贵州,21.2,25.2,97.96%,0,340,0.590,1,0,130,0,0.01%
478,河西学院,甘肃,21.2,27.3,89.82%,0,353,0.621,1,0,1983,0,0.00%
478,昆明学院,云南,21.2,22.7,98.44%,0,387,0.674,1,0,1167,0,0.50%
478,乐山师范学院,四川,21.2,25.0,95.30%,0,221,0.630,0,0,1075,0,0.57%
483,山东交通学院,山东,21.1,21.4,94.80%,0,345,0.785,5,0,0,0,0.48%
483,玉溪师范学院,云南,21.1,22.8,97.23%,0,205,0.702,1,0,792,0,0.13%
485,东华理工大学,江西,21.0,29.2,0,1330,0.824,21,1,77754,50,0.02%
485,嘉应学院,广东,21.0,25.0,95.27%,0,220,0.609,2,0,1904,0,0.01%
485,荆楚理工学院,湖北,21.0,26.1,95.69%,0,127,0.550,0,0,1012,0,0.01%
485,商洛学院,陕西,21.0,29.8,93.46%,0,190,0.410,0,0,0,759,0.00%
489,贵州民族大学,贵州,20.8,24.2,87.96%,0,193,0.698,3,0,450,0,1.37%
489,黑龙江八一农垦大学,黑龙江,20.8,28.1,83.96%,0,993,0.579,1,0,4601,1760,0.00%
489,绵阳师范学院,四川,20.8,28.0,91.59%,0,399,0.488,1,0,540,0,0.22%
489,牡丹江师范学院,黑龙江,20.8,31.5,85.04%,27,193,0.426,1,0,191,0,0.31%
489,浙江万里学院,浙江,20.8,20.6,95.27%,220,476,0.774,4,0,1944,0,0.23%
494,防灾科技学院,河北,20.6,27.9,91.66%,0,430,0.460,0,0,4875,0,0.00%
494,宜宾学院,四川,20.6,21.8,92.85%,0,474,0.723,6,0,3456,1000,0.00%
494,中原工学院,河南,20.6,31.9,0,832,0.683,10,0,15195,2650,0.02%
497,周口师范学院,河南,20.4,25.9,94.53%,0,614,0.483,1,0,0,0,0.00%
498,重庆三峡学院,重庆,20.3,22.8,90.70%,0,576,0.662,5,0,10613,0,0.00%
498,济宁学院,山东,20.3,13.1,92.71%,0,362,1.092,6,0,0,0,0.00%
498,泰山学院,山东,20.3,16.8,93.55%,0,363,0.904,8,0,923,1070,0.00%
498,西安航空学院,陕西,20.3,30.7,92.26%,0,133,0.280,0,0,408,0,0.00%
498,浙江水利水电学院,浙江,20.3,21.4,96.44%,1359,209,0.643,2,0,21411,0,0.00%
503,辽东学院,辽宁,20.1,23.8,95.29%,0,160,0.520,0,0,2345,0,0.08%
503,新疆农业大学,新疆,20.1,20.8,90.08%,755,640,0.705,7,0,25096,100,0.31%
505,滨州学院,山东,20.0,16.5,97.25%,4085,520,0.804,8,0,302,0,0.00%
506,长春工程学院,吉林,19.9,27.9,90.40%,170,237,0.382,0,0,1759,0,0.00%
507,赤峰学院,内蒙古,19.8,21.6,91.36%,0,132,0.614,0,0,0,0,1.43%
507,南阳理工学院,河南,19.8,27.2,90.90%,2147,364,0.373,1,0,0,10,0.26%
509,成都工业学院,四川,19.6,23.8,95.06%,0,154,0.450,0,0,4800,0,0.00%
509,四川文理学院,四川,19.6,21.2,95.13%,0,148,0.568,1,0,0,0,0.36%
509,天水师范学院,甘肃,19.6,29.1,63.25%,0,284,0.687,3,0,3521,420,0.00%
512,黄淮学院,河南,19.5,23.6,96.89%,0,271,0.423,1,0,0,20,0.00%
512,铜陵学院,安徽,19.5,25.0,90.82%,6270,178,0.440,0,0,300,0,0.00%
514,湖南工学院,湖南,19.4,23.1,95.28%,1369,335,0.448,0,0,534,0,0.00%
514,湖南科技学院,湖南,19.4,22.5,91.12%,110,225,0.540,5,0,66,0,0.00%
514,九江学院,江西,19.4,20.6,83.04%,0,628,0.684,7,0,3213,0,1.82%
514,邵阳学院,湖南,19.4,21.7,96.38%,0,282,0.479,0,0,50299,0,0.00%
514,许昌学院,河南,19.4,25.7,0,615,0.810,9,0,6914,450,0.00%
519,西藏大学,西藏,19.3,24.2,0,491,0.872,5,0,2650,0,0.00%
520,桂林航天工业学院,广西,19.2,22.7,92.31%,0,173,0.410,1,0,489,30,2.67%
520,衢州学院,浙江,19.2,21.9,96.54%,0,227,0.460,1,0,2297,0,0.00%
520,商丘师范学院,河南,19.2,26.1,0,455,0.777,3,0,0,0,0.00%
520,铜仁学院,贵州,19.2,11.8,97.00%,0,138,0.902,1,0,1688,0,0.67%
524,红河学院,云南,19.0,17.0,97.66%,0,364,0.613,4,0,946,0,0.88%
524,怀化学院,湖南,19.0,20.0,93.91%,0,338,0.553,1,0,300,0,0.00%
524,塔里木大学,新疆,19.0,18.0,92.85%,0,210,0.671,0,0,2030,0,0.00%
527,池州学院,安徽,18.9,16.3,94.00%,0,178,0.708,1,0,0,0,0.00%
528,滁州学院,安徽,18.8,18.8,96.18%,0,455,0.523,5,0,11084,0,0.00%
529,安徽科技学院,安徽,18.7,16.2,92.89%,0,142,0.699,2,0,4003,1860,0.00%
529,贵阳学院,贵州,18.7,19.1,93.96%,0,163,0.550,0,0,50,5,0.01%
529,潍坊学院,山东,18.7,19.4,92.81%,0,705,0.523,6,0,1830,0,0.11%
529,宜春学院,江西,18.7,17.5,87.32%,0,302,0.690,0,0,157,400,1.51%
533,淮南师范学院,安徽,18.6,18.1,95.22%,0,405,0.557,3,0,810,0,0.00%
534,楚雄师范学院,云南,18.3,18.4,97.88%,0,141,0.450,0,0,0,0,0.24%
534,贵州理工学院,贵州,18.3,17.5,83.40%,0,111,0.732,3,0,2660,20,0.00%
536,巢湖学院,安徽,18.2,17.0,94.89%,0,147,0.552,2,0,130,0,0.00%
537,德州学院,山东,18.0,13.0,93.13%,0,576,0.730,6,0,95,10,0.00%
538,攀枝花学院,四川,17.9,19.5,96.55%,0,282,0.358,0,0,619,8,0.05%
539,伊犁师范大学,新疆,17.7,18.8,87.20%,0,117,0.506,0,0,0,0,0.20%
539,榆林学院,陕西,17.7,30.2,2906,111,0.356,0,0,278,0,0.00%
541,陇东学院,甘肃,17.5,25.1,0,138,0.551,0,0,332,2005,0.00%
542,西京学院,陕西,17.3,15.1,93.30%,0,102,0.522,2,0,34458,0,0.00%
543,邯郸学院,河北,17.2,27.8,0,205,0.390,0,0,578,0,0.00%
544,海南热带海洋学院,海南,17.1,16.0,91.31%,0,121,0.469,1,0,0,0,0.52%
544,莆田学院,福建,17.1,24.0,0,298,0.548,1,0,961,0,0.00%
544,枣庄学院,山东,17.1,10.9,95.99%,0,292,0.645,2,0,600,0,0.16%
547,浙江树人学院,浙江,16.7,10.6,96.95%,4626,315,0.576,4,0,3866,575,0.04%
548,平顶山学院,河南,16.0,23.8,0,174,0.391,0,0,680,0,0.00%
549,湖南涉外经济学院,湖南,15.5,14.8,93.20%,0,177,0.270,0,0,40,0,0.00%
